City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
281,cururupu,9,BR,1560162625,89,-1.82,-44.87,80.18,3.94
282,kodiak,1,US,1560162626,80,39.95,-94.76,57.0,4.7
283,butembo,67,CD,1560162627,67,0.12,29.29,77.48,3.83
284,nouadhibou,0,MR,1560162627,50,20.93,-17.03,75.2,26.4
285,vostok,13,RU,1560162628,93,46.45,135.83,54.8,2.59
286,isiro,43,CD,1560162628,50,2.77,27.62,84.86,3.31
287,gajraula,0,IN,1560162629,7,28.84,78.25,115.64,11.72
288,cervia,20,IT,1560162629,83,44.26,12.35,81.0,8.05
289,taga,40,JP,1560162629,88,35.21,136.34,71.01,3.36
290,knysna,20,ZA,1560162630,68,-34.04,23.05,64.4,5.82
291,kavaratti,100,IN,1560162630,75,10.57,72.64,85.58,37.04
292,kapuskasing,90,CA,1560162630,100,49.42,-82.43,57.2,4.7
293,beloha,0,MG,1560162631,55,-25.17,45.06,74.78,13.94
294,cascais,20,PT,1560162631,56,38.7,-9.42,69.8,17.22
295,grand gaube,90,MU,1560162632,78,-20.01,57.66,77.0,10.29
296,tongchuan,20,CN,1560162632,32,34.9,108.95,95.0,4.47
297,yar-sale,1,RU,1560162632,51,66.83,70.83,42.02,13.27
298,teya,5,MX,1560162633,83,21.05,-89.07,80.6,5.82
299,mangrol,19,IN,1560162633,8,25.33,76.51,115.28,10.27
300,araouane,13,ML,1560162633,12,18.9,-3.53,108.44,5.95
301,conceicao do araguaia,68,BR,1560162634,66,-8.26,-49.26,78.02,2.3
302,dubai,0,AE,1560162356,42,25.27,55.3,105.8,14.99
303,kitob,75,UZ,1560162634,33,39.12,66.88,75.2,6.93
304,clyde river,90,CA,1560162635,100,70.47,-68.59,33.8,8.05
305,sorland,75,NO,1560162638,81,67.67,12.69,44.6,20.8
306,labuan,75,BN,1560162638,83,5.28,115.24,87.01,3.36
307,narsaq,7,GL,1560162639,20,60.91,-46.05,51.8,39.15
308,chas,65,IN,1560162639,10,23.63,86.18,109.34,8.84
309,monte carmelo,12,BR,1560162639,69,-18.73,-47.5,64.88,12.03
310,aksay,20,RU,1560162640,31,47.27,39.86,87.8,11.18
311,san antero,100,CO,1560162640,75,9.38,-75.76,84.86,9.6
312,kununurra,31,AU,1560162641,53,-15.77,128.74,77.0,6.71
313,sardinata,75,CO,1560162641,83,8.08,-72.8,75.2,4.7
314,locri,5,IT,1560162642,23,38.24,16.26,91.99,6.93
315,aljezur,0,PT,1560162642,72,37.31,-8.8,70.0,4.0
316,provideniya,84,RU,1560162642,65,64.42,-173.23,51.38,2.24
317,port-gentil,20,GA,1560162643,70,-0.72,8.78,84.2,12.75
318,havelock,1,US,1560162643,88,34.88,-76.9,80.01,3.36
319,boshnyakovo,95,RU,1560162644,86,49.65,142.17,44.9,1.34
320,waipawa,79,NZ,1560162470,88,-39.94,176.59,51.01,3.38
321,hofn,90,IS,1560162644,75,64.25,-15.21,44.6,10.29
322,hebi,95,CN,1560162644,29,35.75,114.29,84.5,4.54
323,paamiut,94,GL,1560162645,59,61.99,-49.67,42.92,4.85
324,balkhash,40,KZ,1560162645,30,46.84,74.98,71.6,15.66
325,kungurtug,48,RU,1560162646,42,50.6,97.53,59.48,10.18
326,vila,40,IT,1560162646,57,45.18,8.4,80.01,11.41
327,ikungi,0,TZ,1560162647,32,-5.13,34.77,81.44,7.4
328,port hedland,0,AU,1560162429,60,-20.31,118.58,69.8,8.05
329,mayo,20,CA,1560162647,75,63.59,-135.9,46.4,3.36
330,tiznit,0,MA,1560162648,77,29.7,-9.73,66.68,18.39
331,ayabaca,0,PE,1560162648,62,-4.64,-79.72,68.12,1.57
332,sept-iles,40,CA,1560162648,53,50.2,-66.38,51.8,4.7
333,srednekolymsk,64,RU,1560162649,46,67.46,153.71,62.36,10.47
334,jalu,0,LY,1560162649,19,29.03,21.55,96.74,13.2
335,pontianak,75,ID,1560162513,83,-0.02,109.34,80.6,8.05
336,muros,40,ES,1560162650,51,42.77,-9.06,64.0,6.93
337,kenai,1,US,1560162650,87,60.55,-151.26,46.4,4.7
338,jackson,1,US,1560162651,100,35.61,-88.82,73.4,11.52
339,miri,93,NG,1560162651,26,10.31,9.75,98.9,7.78
340,tadepallegudem,90,IN,1560162651,52,16.82,81.53,89.6,10.29
341,rawson,0,AR,1560162652,56,-43.3,-65.11,41.48,21.79
342,sandwick,20,GB,1560162652,47,54.57,-2.89,62.01,8.05
343,taltal,0,CL,1560162652,63,-25.41,-70.49,56.96,0.72
344,alpena,90,US,1560162653,100,45.06,-83.43,62.6,4.7
345,inongo,21,CD,1560162653,23,-1.93,18.29,96.02,4.92
346,caloundra,0,AU,1560162654,93,-26.8,153.14,62.01,5.82
347,piney green,90,US,1560162654,94,35.09,-78.48,73.99,5.14
348,monterey,1,US,1560162655,52,36.6,-121.89,71.01,7.7
349,kalmunai,100,LK,1560162655,68,7.42,81.82,85.04,4.76
350,sol-iletsk,0,RU,1560162655,44,51.16,55.0,80.72,6.62
351,henties bay,0,NA,1560162656,86,-22.12,14.28,59.0,7.0
352,gornopravdinsk,22,RU,1560162656,46,60.06,69.92,71.36,11.3
353,dudinka,75,RU,1560162656,80,69.41,86.18,35.6,11.18
354,wairoa,85,NZ,1560162657,99,-39.04,177.43,48.99,4.0
