City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
380,kodiak,1,US,1560164790,80,39.95,-94.76,55.4,3.36
381,aripuana,94,BR,1560164791,70,-9.17,-60.63,74.78,1.86
382,carroll,3,AU,1560164791,93,-30.99,150.44,51.8,4.7
383,nelson bay,0,AU,1560164792,87,-32.72,152.14,64.0,4.7
384,komsomolskiy,57,RU,1560164792,63,67.55,63.78,38.96,5.7
385,ramshir,20,IR,1560164792,8,30.89,49.41,120.2,18.34
386,clarence town,0,AU,1560164793,87,-32.59,151.78,64.0,4.7
387,rantepao,96,ID,1560164793,96,-2.97,119.9,62.72,2.17
388,shirokiy,66,RU,1560164793,59,53.87,39.17,79.64,3.49
389,yulara,0,AU,1560164794,39,-25.24,130.99,62.6,3.36
390,naze,75,NG,1560164794,79,5.43,7.07,84.2,5.82
391,lagoa,20,PT,1560164795,43,37.14,-8.45,80.01,9.17
392,nkan,65,CM,1560164795,89,2.95,11.22,76.58,3.67
393,los alamos,69,US,1560164796,65,35.88,-106.3,50.0,13.87
394,kempele,0,FI,1560164796,59,64.91,25.51,71.01,20.8
395,sawtell,4,AU,1560164796,93,-30.38,153.1,59.0,4.7
396,athabasca,15,CA,1560164797,86,54.72,-113.29,41.48,5.53
397,tanout,18,NE,1560164797,23,14.97,8.88,99.44,3.15
398,leshukonskoye,50,RU,1560164797,31,64.9,45.76,75.68,11.16
399,kysyl-syr,68,RU,1560164798,59,63.9,122.77,67.58,7.52
400,ngorongoro,1,TZ,1560164798,46,-3.24,35.49,76.58,12.86
401,samarai,86,PG,1560164799,92,-10.62,150.67,74.06,5.32
402,mount isa,85,AU,1560164633,56,-20.73,139.49,69.8,4.7
403,veracruz,75,VE,1560164799,88,7.66,-72.25,75.2,3.36
404,prainha,51,BR,1560164800,82,-1.8,-53.48,79.46,3.44
405,alenquer,40,BR,1560164800,94,-1.95,-54.74,75.2,4.59
406,monte santo de minas,0,BR,1560164801,71,-21.19,-46.98,64.88,13.65
407,balkhash,40,KZ,1560164801,33,46.84,74.98,71.6,15.66
408,tateyama,75,JP,1560164801,93,36.66,137.31,66.2,3.36
409,churapcha,81,RU,1560164802,53,62.0,132.43,62.0,5.79
410,tanete,89,ID,1560164802,77,-3.94,119.78,83.06,14.74
411,shaoguan,100,CN,1560164802,90,24.81,113.59,78.92,1.66
412,muzhi,33,RU,1560164803,28,65.4,64.7,56.96,1.43
413,noumea,0,NC,1560164803,87,-22.28,166.46,60.8,2.24
414,caravelas,100,BR,1560164803,90,-17.73,-39.27,73.16,6.91
415,sambava,68,MG,1560164804,72,-14.27,50.17,72.8,4.79
416,kijini,20,TZ,1560164804,51,-5.85,39.32,86.0,14.99
417,rocha,72,UY,1560164805,94,-34.48,-54.34,63.26,9.84
418,itoman,20,JP,1560164586,88,26.12,127.67,78.8,6.93
419,lithgow,3,AU,1560164722,82,-33.48,150.16,60.01,5.82
420,sovetskaya gavan,100,RU,1560164806,98,48.97,140.29,45.8,1.99
421,antofagasta,75,CL,1560164806,76,-23.65,-70.4,57.2,4.7
422,casper,1,US,1560164806,86,42.87,-106.31,36.0,4.85
423,petropavlovsk-kamchatskiy,75,RU,1560164807,81,53.05,158.65,48.2,6.71
424,binika,74,IN,1560164807,11,21.03,83.8,110.42,1.07
425,te anau,95,NZ,1560164807,97,-45.41,167.72,42.2,3.06
426,rabat,40,MA,1560164808,56,34.02,-6.83,75.2,8.05
427,padang,94,ID,1560164809,78,-0.92,100.36,85.4,8.28
428,novichikha,31,RU,1560164809,60,52.2,81.39,65.6,8.25
429,papetoai,20,PF,1560164809,73,-17.5,-149.87,77.0,2.24
430,lumphat,80,KH,1560164810,78,13.5,106.97,83.42,4.68
431,abashiri,75,JP,1560164810,76,44.01,144.25,57.2,10.29
432,ust-kan,80,RU,1560164810,76,50.93,84.77,54.62,3.91
433,batemans bay,0,AU,1560164762,90,-35.71,150.18,53.01,1.25
434,concordia,90,AR,1560164811,100,-31.4,-58.02,64.4,5.21
435,rafraf,0,TN,1560164811,65,37.19,10.18,82.4,13.87
436,winnemucca,1,US,1560164798,64,40.97,-117.74,42.01,4.7
437,siverek,75,TR,1560164812,27,37.75,39.32,91.4,20.8
438,nacala,40,MZ,1560164812,54,-14.56,40.69,82.4,14.99
439,oussouye,40,SN,1560164813,78,12.49,-16.54,86.0,4.7
440,sabang,100,PH,1560164813,76,13.72,123.58,85.4,7.4
441,khani,0,GE,1560164813,28,41.96,42.96,95.0,27.51
442,quelimane,75,MZ,1560164814,54,-17.88,36.89,82.4,8.05
443,qingdao,40,CN,1560164788,69,36.09,120.35,75.0,11.18
444,opuwo,0,NA,1560164814,14,-18.06,13.84,84.14,15.59
445,udachnyy,90,RU,1560164815,55,66.42,112.4,64.4,8.95
446,terrace,90,CA,1560164815,93,54.52,-128.61,50.0,3.36
447,shizunai,0,JP,1560164625,91,42.33,142.37,53.0,5.41
448,port augusta,0,AU,1560164815,47,-32.49,137.76,55.4,8.05
449,bud,75,NO,1560164816,81,62.91,6.91,61.0,20.8
450,pangnirtung,84,CA,1560164816,48,66.15,-65.72,46.88,4.16
451,troitsko-pechorsk,45,RU,1560164817,41,62.71,56.19,79.82,6.35
452,midlothian,1,US,1560164775,77,32.48,-96.99,71.6,17.22
453,slonim,13,BY,1560164817,56,53.09,25.32,77.84,6.26
454,rio gallegos,0,AR,1560164817,86,-51.62,-69.22,30.2,17.22
455,sorong,100,ID,1560164637,93,-0.86,131.25,78.02,2.68
456,businga,47,CD,1560164819,46,3.34,20.89,88.82,2.89
457,wukari,64,NG,1560164819,49,7.87,9.78,92.42,5.41
458,dire,75,ET,1560164819,82,9.18,38.92,64.4,6.93
459,moyale,38,ET,1560164820,50,3.52,39.05,79.82,16.33
460,caratinga,0,BR,1560164820,100,-19.79,-42.14,62.6,2.24
461,aksu,75,KZ,1560164821,68,52.04,76.93,64.4,6.71
462,belen,0,TR,1560164821,52,36.49,36.19,88.0,26.4
463,kedrovyy,40,RU,1560164822,52,56.17,91.82,69.8,8.95
464,kurilsk,97,RU,1560164822,91,45.23,147.88,47.24,1.57
465,caloundra,0,AU,1560164822,88,-26.8,153.14,62.6,4.7
466,waitati,31,NZ,1560164823,81,-45.75,170.57,50.0,11.99
467,thana,0,PK,1560164824,9,34.64,72.07,103.94,7.96
468,havre-saint-pierre,20,CA,1560164824,65,50.23,-63.6,46.4,8.05
469,nerchinskiy zavod,66,RU,1560164825,63,51.31,119.61,62.9,1.52
470,strezhevoy,20,RU,1560164825,58,60.73,77.6,59.0,13.42
471,houma,29,CN,1560164825,31,35.63,111.36,84.5,8.88
472,pitanga,0,BR,1560164826,73,-24.76,-51.76,58.04,8.63
473,gazanjyk,0,TM,1560164826,12,39.24,55.52,91.16,14.03
474,luanda,20,AO,1560164827,69,-8.83,13.24,78.8,3.36
475,belyy yar,40,RU,1560164828,88,53.6,91.39,62.6,6.71
476,pandan,99,PH,1560164828,81,11.72,122.09,83.42,13.2
477,ocampo,100,PH,1560164829,77,13.56,123.37,83.24,4.99
478,djenne,62,ML,1560164829,29,13.91,-4.55,101.6,6.93
479,maragogi,18,BR,1560164830,74,-9.01,-35.22,81.26,11.65
480,lorengau,40,PG,1560164830,86,-2.02,147.27,80.72,5.86
